	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"
34_Irf9	0.283518	-0.0982788	-0.0576845	-0.250592	-0.552112	-0.135722
38_Ldlr	-0.545455	-0.338193	-0.244025	-0.114381	-0.412977	-0.0765953
50_Zswim4	0.231875	-0.00237223	-0.303252	-0.229085	-0.529669	-0.189804
51_A_52_P931594	-0.224389	-0.198229	-0.500771	-0.1889	-0.636065	-0.213619
67_Hif1an	0.271097	0.371638	0.145276	0.523375	0.0672272	0.0366025
68_Mtap1a	-0.267311	-0.623897	-0.565419	-0.360874	-0.724058	-0.418112
73_Vps29	-0.0872474	-0.0832071	-0.0202443	-0.0587336	-0.500184	-0.28537
97_Clca4	0.33018	0.120238	-0.0503102	-0.110714	-0.565071	-0.0108809
100_Mtus2	0.0938459	-0.176253	0.394829	-0.125909	-0.514971	-0.0451466
124_Fdps	-0.712359	-0.146807	-0.175246	-0.0603534	-0.632837	-0.423357
134_Ep300	0.514024	0.428328	0.145989	0.0206762	-0.425273	-0.30909
140_A_52_P377736	-0.0877366	-0.324542	-0.364689	-0.118869	-0.583671	-0.103053
182_A_52_P672825	-0.21735	-0.298031	0.0112287	-0.148747	-0.701033	-0.20669
183_Srp9	-0.49354	-0.122964	-0.0709893	0.0448355	-0.276529	0.0750263
189_Krt13	-0.448074	-0.468024	-0.382108	-0.287927	-0.560922	-0.266708
192_A_52_P197046	-0.114467	-0.406343	-0.714438	-0.13511	-0.530605	-0.171725
220_Cyp2b9	-1.18243	-1.15863	-1.52733	-0.688004	-1.08881	-0.234284
237_Ctgf	-0.500468	0.0134038	-0.282777	0.165709	-0.23646	0.214293
273_7030407O06Rik	-0.643737	-0.487485	-0.414273	-0.255963	-0.529042	-0.114737
274_Esr1	-0.33411	-0.545025	-0.0736329	0.0879985	-0.227945	0.100141
279_Cd207	-0.78944	-0.648409	-0.581797	-0.471414	-0.449161	-0.272582
282_Syn1	-0.300579	-0.450097	-0.511552	-0.438895	-0.211839	0.0190465
319_A_51_P359432	-0.651928	-0.561917	-0.48227	-0.332354	-0.396746	-0.201519
329_Agpat9	-0.531605	-0.629513	-0.566667	-0.0810339	-0.353805	-0.0858673
350_Fgf8	-0.1286	-0.245517	-0.228091	-0.171333	-0.681056	-0.36194
488_4930402E16Rik	0.0197109	0.0720658	-0.00621598	0.493082	0.234598	0.0916688
536_Cdh10	-0.247115	-0.499143	-0.339737	-0.244461	-0.610524	-0.458255
615_A_51_P269793	-0.514555	-0.370162	-0.134463	-0.162578	-0.105588	0.0861953
620_Zap70	-0.454141	-0.48722	0.0744459	-0.0393913	-0.241579	-0.00027419900000001
721_Gast	-0.323588	-0.00975034	-0.664841	-0.285937	-0.211008	-0.0220134
736_Cln8	0.353731	0.515806	0.115221	-0.0817378	0.275637	0.0182219
746_A_51_P330870	-0.474523	-0.464805	-0.53569	-0.259854	0.090172	0.0844387
755_Entpd7	-0.389108	-0.350046	-0.410461	-0.0969672	-0.502834	-0.518792
806_Cxcl10	-0.200326	-0.477188	-0.203956	-0.143772	-0.289765	-0.0701085
812_Col2a1	0.60693	0.335635	0.167545	0.174564	0.0437138	-0.0855627
880_H3f3a	-0.449116	-0.491984	-0.27264	-0.349822	-0.2492	-0.117265
890_Pnrc1	0.478631	0.315441	0.200058	0.268639	0.231752	0.119383
898_Cyp1a2	0.388024	0.424076	0.779299	0.720692	0.290126	1.01716
913_Mt1	-0.239272	-0.359966	-0.573802	-0.455187	-0.38814	-0.305883
1039_Piga	-0.505979	-0.444009	-0.0323919	-0.106907	-0.353817	-0.126178
1111_A_51_P449638	-0.584096	-0.468219	-0.370668	-0.249555	-0.616782	-0.396574
1168_Gm11435	-0.295168	-0.503563	-0.448125	-0.300902	-0.542052	-0.399909
1171_Ppme1	-0.252238	-0.231536	-0.547693	-0.414994	0.00870684	0.0857973
1173_Foxp1	0.366652	0.311656	0.211417	0.503391	0.396846	0.086289
1180_Trim50	-0.490218	-0.552958	-0.459097	-0.354391	-0.521386	-0.368011
1196_Dysfip1	-0.453096	-0.595846	-0.438603	-0.295868	-0.179227	0.10753
1263_Exoc3	-0.497273	-0.235805	0.505084	0.625945	-0.103498	0.269907
1280_4933404O12Rik	-0.55919	-0.352636	-0.476	-0.234129	-0.52258	-0.352977
1303_2010003K11Rik	0.462232	0.280508	0.297917	0.572125	0.342212	0.352338
1329_Sfxn4	-0.593273	-0.69773	-0.571433	-0.322371	-0.0231143	0.0953128
1344_Sgsm1	-0.497503	-0.488356	-0.166458	-0.0241114	-0.22671	-0.0114014
1397_Bcl6	0.135951	-0.662854	0.174803	-0.277055	0.376639	-0.0474839
1405_Rab23	-0.490732	-0.292327	0.0814093	0.283611	-0.119773	0.23481
1542_Pde4b	-0.503578	-0.341314	-0.456245	-0.192115	-0.299611	0.0408619
1597_Arid5b	-0.524411	-0.683206	-0.639699	-0.503725	-0.240136	-0.0452304
1651_Col2a1	0.599271	0.340251	0.136318	0.140839	0.0384202	-0.132076
1710_Ptprc	-0.513445	-0.57853	-0.296738	-0.414241	-0.287288	-0.0453655
1713_Hspb7	-0.4083	-0.425446	-0.373662	-0.287716	-0.479365	-0.325693
1717_0610012H03Rik	0.148887	0.191624	0.671537	0.487578	0.159932	0.297122
1802_Dusp16	-0.515073	-0.212725	-0.087506	0.13383	-0.247738	0.0398172
1831_Alg2	0.400763	0.332552	0.239822	0.511326	0.208017	0.0517396
1846_Lrsam1	0.0286103	-0.0934397	-0.212037	-0.226923	-0.437059	-0.582163
1848_A_52_P949155	0.44217	0.603324	0.582526	0.423111	0.566546	0.0126616
1855_Tmem185b	0.339722	0.429324	0.384089	0.730756	0.48606	0.00843994
1875_Xlr4b	-0.254754	-0.336376	-0.0309227	0.46894	-0.57728	0.140599
1902_1110015O18Rik	0.305568	-0.372212	-0.450373	-0.342033	-0.502308	-0.322789
1919_Col6a1	0.408458	0.510845	0.0353465	0.34717	0.493878	0.0898018
2028_Ap1ar	0.283324	0.509687	0.45015	0.625221	0.419184	0.041634
2067_Mt1	-0.23308	-0.376763	-0.562582	-0.490204	-0.393976	-0.317602
2110_Esr1	-0.324072	-0.541018	-0.0677359	0.0988565	-0.246247	0.11215
2155_Prkrir	0.1379	0.0776158	0.378118	0.648277	0.402384	0.110204
2161_A_52_P567281	-0.279034	-0.607936	-0.624811	-0.37448	-0.336391	-0.119427
2217_Arfrp1	-0.0645638	-0.312306	-0.306022	-0.359611	-0.585421	-0.583316
2263_Cnih2	-0.0810448	0.103479	0.909133	0.961476	0.198599	0.5126
2290_Hivep3	-0.148475	-0.714112	-0.220071	-0.138564	-0.073801	0.0344588
2306_A_52_P1156957	-1.73683	-1.17035	-1.2059	-0.853842	-1.09433	-0.27184
2553_A_51_P410639	-0.364529	-0.513258	-0.517342	-0.277718	-0.491719	-0.234207
2605_BC048507	-0.409093	-0.684871	-0.421623	-0.190821	-0.170331	0.0967764
2674_2610110G12Rik	-0.140389	-0.182556	-0.482652	-0.273056	-0.136314	0.0812099
2704_Ceacam2	0.320322	0.297972	0.294609	0.546258	0.346852	0.255534
2709_P4ha2	-0.553288	-0.381927	-0.264331	-0.115949	-0.360185	0.0439461
2733_BC023105	-0.537941	-0.519906	-0.349139	0.015619	-0.240078	-0.0703675
2770_Wfdc2	-0.598391	-0.296937	-0.297673	-0.0609223	-0.298439	0.258662
2778_Ssfa2	0.428984	0.543089	0.0829362	0.1107	0.234487	0.0888709
2837_Plin4	-0.806973	-0.523938	-0.823819	-0.353036	-0.416735	-0.034734
2981_Chmp4b	-0.309953	-0.742958	-0.382009	-0.413379	-0.125929	-0.359008
2984_Actb	-0.337985	-0.492985	-0.0603835	-0.0749067	-0.233891	0.320039
2991_BC023105	-0.579473	-0.587243	-0.45778	-0.060578	-0.273493	-0.191502
3126_Ppm1l	-0.346439	-0.291401	-0.536538	-0.298043	-0.267536	-0.158045
3134_4921534H16Rik	-0.438756	-0.709227	-0.418073	-0.233407	-0.187808	0.111751
3146_Ccr3	-0.157362	-0.311343	-0.267805	-0.248873	-0.688125	-0.309529
3152_Cox17	-0.219808	-0.479467	-0.538167	-0.334059	-0.278521	-0.0794213
3199_Olfr123	-0.541143	-0.621742	-0.286669	0.018637	-0.051093	0.128609
3234_Rassf3	0.624672	0.587956	0.206669	0.318881	0.442507	0.399878
3261_A_52_P972871	-0.207522	-0.246593	0.215594	0.145279	0.00439033	0.518905
3266_Lamp2	-0.337876	-0.481425	-0.385337	-0.151634	-0.211643	-0.182632
3268_Ik	-0.512505	-0.380202	-0.223401	-0.277515	-0.257947	-0.0413664
3272_Fasn	-0.486695	-0.29565	-0.70883	-0.419248	-0.464981	-0.319705
3316_Lilrb3	-0.477323	-0.467154	-0.175667	-0.546243	-0.40161	-0.144614
